гипертоническая болезнь, боль в груди, 3363,0
гипертоническая болезнь, одышка, 3363,0
гипертоническая болезнь, головокружение, 3363,0
гипертоническая болезнь, астения, 3363,0
гипертоническая болезнь, осень, 3363,0
гипертоническая болезнь, обморок, 3363.0
гипертоническая болезнь, головокружение, 3363,0
гипертоническая болезнь, пот, 3363,0
гипертоническая болезнь, повышенное потоотделение, 3363,0
гипертоническая болезнь, сердцебиение, 3363,0
гипертоническая болезнь, тошнота, 3363,0
гипертоническая болезнь, стенокардия, 3363,0
гипертоническая болезнь, сдавливание грудной клетки, 3363,0
сахарный диабет, полиурия, 1421,0
сахарный диабет, полидипсия, 1421,0
сахарный диабет, одышка, 1421,0
диабет, боль в груди, 1421,0
сахарный диабет, астения, 1421,0
диабет, тошнота, 1421,0
сахарный диабет, ортопноэ, 1421,0
сахарный диабет, хрипы, 1421.0
сахарный диабет, пот, 1421,0
сахарный диабет, повышенное потоотделение, 1421,0
диабет, невосприимчивость, 1421,0
сахарный диабет, изменения психического статуса, 1421,0
сахарный диабет, головокружение, 1421,0
сахарный диабет, рвота, 1421,0
сахарный диабет, затрудненное дыхание, 1421,0
депрессия психическая, суицидальное чувство, 1337,0
депрессия психическая, суицидальная, 1337,0
депрессия психическая, слуховые галлюцинации, 1337,0
депрессия психическая, чувство безнадежности, 1337,0
депрессия психическая, плаксивость, 1337,0
депрессия психическая, бессонница, 1337,0
депрессия, умственная, двигательная отсталость, 1337,0
депрессия психическая, раздражительное настроение, 1337,0
депрессия психическая, затемнение, 1337,0
депрессия психическая, депрессивное настроение, 1337,0
депрессия психическая, галлюцинации зрительные, 1337,0
депрессия психическая, беспокойство, 1337,0
депрессия, психическое возбуждение, 1337,0
депрессия психическая, тремор, 1337,0
депрессия психическая, интоксикация, 1337,0
депрессия психические, вербальные слуховые галлюцинации, 1337,0
депрессия психическая, повышенная энергия, 1337,0
депрессия психическая, затрудненная, 1337,0
депрессия психическая, кошмар, 1337.0
депрессия психическая, не может сосредоточиться, 1337,0
депрессия психическая, бездомность, 1337,0
депрессивное расстройство, суицидальное чувство, 1337,0
депрессивное расстройство, суицидальное состояние, 1337,0
депрессивное расстройство, слуховые галлюцинации, 1337,0
депрессивное расстройство, чувство безнадежности, 1337,0
депрессивное расстройство, сонливость, 1337,0
депрессивное расстройство, бессонница, 1337,0
депрессивное расстройство, задержка моторики, 1337,0
депрессивное расстройство, раздражительное настроение, 1337,0
депрессивное расстройство, затемнение, 1337,0
депрессивное расстройство, депрессивное настроение, 1337,0
депрессивное расстройство, зрительные галлюцинации, 1337,0
депрессивное расстройство, беспокойство, 1337,0
депрессивное расстройство, возбуждение, 1337,0
депрессивное расстройство, тремор, 1337,0
депрессивное расстройство, интоксикация, 1337,0
депрессивное расстройство, вербальные слуховые галлюцинации, 1337,0
депрессивное расстройство, повышенная энергия, 1337,0
депрессивное расстройство, затруднение, 1337,0
депрессивное расстройство, кошмар, 1337,0
депрессивное расстройство, неспособность сосредоточиться, 1337,0
депрессивное расстройство, бездомность, 1337,0
коронарный артериосклероз, боль в груди, 1284,0
коронарный артериосклероз, стенокардия, 1284.0
коронарный артериосклероз, одышка, 1284,0
коронарный артериосклероз, гипокинезия, 1284,0
коронарный артериосклероз, пот, 1284,0
коронарный артериосклероз, повышенное потоотделение, 1284,0
коронарный артериосклероз, сдавленная грудная клетка, 1284,0
коронарный артериосклероз, одышка при физической нагрузке, 1284,0
коронарный артериосклероз, ортопноэ, 1284.0
коронарный артериосклероз, стеснение в груди, 1284.0
ишемическая болезнь сердца, боль в груди, 1284,0
ишемическая болезнь сердца, стенокардия, 1284,0
ишемическая болезнь сердца, одышка, 1284,0
ишемическая болезнь сердца, гипокинезия, 1284,0
ишемическая болезнь сердца, пот, 1284,0
ишемическая болезнь сердца, повышенное потоотделение, 1284,0
ишемическая болезнь сердца, грудная клетка, 1284,0
ишемическая болезнь сердца, одышка при физической нагрузке, 1284,0
ишемическая болезнь сердца, ортопноэ, 1284,0
ишемическая болезнь сердца, стеснение в груди, 1284,0
пневмония, кашель, 1029,0
пневмония, лихорадка, 1029,0
пневмония, снижение прозрачности, 1029,0
пневмония, одышка, 1029,0
пневмония, хрип, 1029.0
пневмония, продуктивный кашель, 1029,0
пневмония, плевритная боль, 1029,0
пневмония, желтая мокрота, 1029,0
пневмония, шумы дыхания уменьшились, 1029,0
пневмония, озноб, 1029,0
пневмония, хрип, 1029,0
пневмония, зеленая мокрота, 1029,0
пневмония, непродуктивный кашель, 1029,0
пневмония, хрипы, 1029,0
пневмония, кровохарканье, 1029,0
пневмония, респираторный дистресс, 1029,0
пневмония, тахипноэ, 1029,0
